"Item","Price1","Price2","Price3","Price4","Price5","Price6","Price 7","Price8"
"Nose peg",1172,1172,1172,1172,1172,1172,1172,1172
"Novtumberfest dance emot...",5301,5301,5301,5301,5301,5301,5301,5301
"Novtumberfest outfit tok...",2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000
"Noxious longbow",153900000,153900000,152400000,152400000,149800000,148200000,148200000,148200000
"Noxious scythe",268200000,268200000,253400000,253400000,240900000,231900000,231900000,231900000
"Noxious staff",156200000,156200000,156700000,156700000,1.55e+08,153600000,153600000,153600000
"Nue orokami mask",236800,236800,236800,236800,236800,236800,236800,236800
"Numbing root",11700,11700,12100,12100,12100,12400,12400,12400
"Nuts",675,645,645,645,645,645,645,645
"O'ahu parasol token",16400,16400,16400,16400,16400,16400,16400,16400
"Oak armchair",15,15,15,15,15,15,15,15
"Oak armour case",15,15,15,15,15,15,15,15
"Oak bed",1352,1352,1352,1352,1352,1352,1352,1352
"Oak bench",81,81,81,81,81,81,81,81
"Oak bookcase",24,24,24,24,24,24,24,24
"Oak cape rack",19,19,19,19,19,19,19,19
"Oak chair",10,10,10,10,10,10,10,10
"Oak clock",235,235,235,235,235,235,235,235
"Oak dining table",9,9,9,9,9,9,9,9
"Oak drawers",16,16,16,16,16,16,16,16
"Oak dresser",122,122,122,122,122,122,122,122
"Oak fancy dress box",24,24,24,24,24,24,24,24
"Oak incense sticks",329,329,329,329,329,342,342,342
"Oak kitchen table",12,12,12,12,12,12,12,12
"Oak logs",378,374,364,364,346,312,312,312
"Oak magic wardrobe",49,49,49,49,49,49,49,49
"Oak plank",467,449,431,431,415,432,432,432
"Oak pyre logs",3296,3296,3401,3401,3401,3401,3401,3401
"Oak roots",980,980,980,980,980,980,980,980
"Oak shaving stand",385,385,385,385,385,385,385,385
"Oak shieldbow",535,535,550,550,535,535,535,535
"Oak shieldbow (u)",79,79,79,79,80,80,80,80
"Oak shortbow",612,640,650,650,650,664,664,664
"Oak shortbow (u)",217,217,217,217,217,217,217,217
"Oak stock",44,44,44,44,44,44,44,44
"Oak toy box",15,15,15,15,15,15,15,15
"Oak treasure chest",15,15,15,15,15,15,15,15
"Oak wardrobe",13,13,13,13,13,13,13,13
"Obliteration",55500000,55500000,5.7e+07,5.7e+07,5.7e+07,5.7e+07,5.7e+07,5.7e+07
"Obsidian cape",227800,227800,220300,220300,211700,204700,204700,204700
"Obsidian golem pouch",3745,3745,3745,3745,3745,3745,3745,3745
"Ocean's Archer Body and ...",497400,497400,497400,497400,497400,497400,497400,497400
"Ocean's Archer Bow token...",247000,247000,258200,258200,258200,258200,258200,258200
"Ocean's Archer Crossbow ...",136300,136300,136300,136300,136300,136300,136300,136300
"Ocean's Archer Head toke...",264200,264200,264200,264200,264200,264200,264200,264200
"Ocean's Archer Legs and ...",382300,382300,382300,382300,382300,382300,382300,382300
"Ochre snelm (pointed)",83,83,83,83,83,83,83,83
"Ochre snelm (round)",119,119,119,119,119,119,119,119
"Octopus companion pet to...",164600,164600,172600,172600,172600,172600,172600,172600
"Oculi apoterrasaur (unch...",2300000,2300000,2300000,2300000,2300000,2300000,2300000,2300000
"Oculi apoterrasaur glaci...",1045,1045,1045,1045,1045,1045,1045,1045
"Oculi apoterrasaur meat",4052,4052,4052,4052,4052,4052,4052,4052
"Oculi apoterrasaur ocean...",1042,1042,1042,1042,1042,1042,1042,1042
"Off-hand adamant crossbo...",9339,9339,9339,9339,9274,9274,9274,9274
"Off-hand adamant dart",72,72,70,70,70,67,67,67
"Off-hand adamant knife",359,359,359,359,359,359,359,359
"Off-hand adamant throwin...",155,155,155,155,155,155,155,155
"Off-hand armadyl crossbo...",60000,60000,60000,60000,60000,60000,60000,60000
"Off-hand Armadyl crossbo...",4100000,4300000,4300000,4300000,4300000,4300000,4300000,4300000
"Off-hand ascension cross...",122200000,123300000,125900000,125900000,125900000,125800000,125800000,125800000
"Off-hand black crossbow",833100,833100,873700,873700,914800,959100,959100,959100
"Off-hand black dart",102,102,102,102,102,102,102,102
"Off-hand black knife",128,128,129,129,129,129,129,129
"Off-hand Blightbound cro...",504900000,504900000,504900000,504900000,504900000,491800000,491800000,491800000
"Off-hand briefcase",753900,753900,753900,753900,753900,753900,753900,753900
"Off-hand bronze crossbow...",1074,1074,1074,1074,1074,1082,1082,1082
"Off-hand bronze dart",22,22,22,22,22,22,22,22
"Off-hand bronze knife",45,45,45,45,45,45,45,45
"Off-hand bronze throwing...",24,24,24,24,24,24,24,24
"Off-hand crystal chakram...",190400,190400,190400,190400,190400,190400,190400,190400
"Off-hand crystal dagger",204400,204400,204400,204400,204400,204400,204400,204400
"Off-hand demon slayer cr...",59400,59400,59500,59500,59500,59500,59500,59500
"Off-hand dragon battleax...",118200,118200,118200,118200,118400,118400,118400,118400
"Off-hand dragon claw",62700,62700,67300,67300,67300,69700,69700,69700
"Off-hand dragon crossbow...",8400000,8400000,8400000,8400000,8400000,8400000,8400000,8400000
"Off-hand dragon dagger",21900,21900,21900,21900,21900,21900,21900,21900
"Off-hand dragon dart",195,195,194,194,194,194,194,194
"Off-hand dragon javelin",285,285,285,285,285,288,288,288
"Off-hand dragon knife",1036,1036,1036,1036,1036,1036,1036,1036
"Off-hand dragon longswor...",57300,57200,55800,55800,57100,56700,56700,56700
"Off-hand dragon mace",27700,27700,27400,27400,27900,28100,28100,28100
"Off-hand dragon scimitar...",88300,88300,88300,88300,88300,88300,88300,88300
"Off-hand dragon throwing...",190,190,190,190,190,190,190,190
"Off-hand dragon warhamme...",28000,28000,28000,28000,28000,28000,28000,28000
"Off-hand drygore longswo...",94900,94900,94900,94900,94900,94900,94900,94900
"Off-hand drygore mace",39800000,39800000,39900000,39900000,39900000,39800000,39800000,39800000
"Off-hand drygore mace sh...",109000,109000,109000,109000,109000,109000,109000,109000
"Off-hand drygore rapier",40600000,40600000,40200000,40200000,40200000,39100000,39100000,39100000
"Off-hand drygore rapier ...",103900,103900,103900,103900,103900,103900,103900,103900
"Off-hand iron crossbow",608,608,608,608,608,608,608,608
"Off-hand iron dart",29,29,29,29,29,29,29,29
"Off-hand iron knife",57,57,57,57,57,57,57,57
"Off-hand iron throwing a...",22,22,22,22,22,22,22,22
"Off-hand khopesh of the ...",52600000,52600000,52600000,52600000,52600000,52600000,52600000,52600000
"Off-hand leaf-bladed swo...",38400,38400,37900,37900,37900,37900,37900,37900
"Off-hand mithril crossbo...",3122,3122,3122,3122,3091,3091,3091,3091
"Off-hand mithril dart",24,24,24,24,24,24,24,24
"Off-hand mithril knife",179,179,179,179,179,179,179,179
"Off-hand mithril throwin...",76,76,76,76,76,76,76,76
"Off-hand ripper claw",1100000,1100000,1100000,1100000,1100000,1100000,1100000,1100000
"Off-hand rubber turkey",735600,735600,735600,735600,735600,735600,735600,735600
"Off-hand rune crossbow",8116,8246,8246,8246,8157,8157,8157,8157
"Off-hand rune dart",72,72,68,68,64,62,62,62
"Off-hand rune knife",411,412,420,420,420,416,416,416
"Off-hand rune throwing a...",326,326,326,326,326,326,326,326
"Off-hand shadow glaive",9200000,9600000,9800000,9800000,9800000,9400000,9400000,9400000
"Off-hand shadow glaive s...",57900,57900,57900,57900,57900,57900,57900,57900
"Off-hand steel crossbow",2631,2631,2631,2631,2631,2631,2631,2631
"Off-hand steel dart",20,20,20,20,20,20,20,20
"Off-hand steel knife",103,103,103,103,103,103,103,103
"Off-hand steel throwing ...",36,36,37,37,37,37,37,37
"Off-hand suitcase",714400,714400,714400,714400,749500,749500,749500,749500
"Ogre arrow",104,104,103,103,103,103,103,103
"Ogre arrow shaft",106,106,106,106,106,106,106,106
"Ogre boots",448,448,448,448,448,448,448,448
"Ogre coffin key",2353,2353,2353,2353,2353,2353,2353,2353
"Ogre kilt",132,132,132,132,132,132,132,132
"Ogre top",384,384,384,384,384,384,384,384
"Ogre wig",1092,1092,1092,1092,1092,1092,1092,1092
"Oil lamp (empty)",18,18,18,18,18,18,18,18
"Oil lamp (oil)",6287,6287,6287,6287,6287,6287,6287,6287
"Oil lantern (empty)",16,16,16,16,16,16,16,16
"Oil lantern (oil)",6421,6421,6421,6421,6421,6421,6421,6421
"Oil lantern frame",10,10,10,10,10,10,10,10
"Olive oil (1)",168,168,168,168,168,168,168,168
"Olive oil (2)",261,261,261,261,261,261,261,261
"Olive oil (3)",500,500,500,500,500,500,500,500
"Olive oil (4)",801,801,801,801,801,801,801,801
"Oni orokami mask",151800,151800,151800,151800,151800,151800,151800,151800
"Onion",500,500,475,475,477,473,473,473
"Onion & tomato",35,35,35,35,35,35,35,35
"Onion seed",158,158,165,165,171,179,179,179
"Onions (10)",2531,2531,2531,2531,2531,2531,2531,2531
"Onyx",2700000,2700000,2700000,2700000,2700000,2700000,2700000,2700000
"Onyx amulet",1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000
"Onyx bakriminel bolts",9850,9850,9850,9850,9850,9850,9850,9850
"Onyx bakriminel bolts (e...",10500,10500,10500,10500,10500,10600,10600,10600
"Onyx bolt tips",7303,7251,7188,7188,7182,7204,7204,7204
"Onyx bolts",7618,7618,7584,7584,7531,7482,7482,7482
"Onyx bolts (e)",7796,7801,7713,7713,7736,7710,7710,7710
"Onyx bracelet",445800,445800,445800,445800,445800,445800,445800,445800
"Onyx dragon mask",682700,682700,682700,682700,682700,715700,715700,715700
"Onyx dust",25500,25900,25200,25200,24700,24600,24600,24600
"Onyx necklace",458900,458900,458900,458900,458900,458900,458900,458900
"Onyx ring",2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000
"Oomlie hen (unchecked)",2843,2843,2843,2843,2843,2780,2780,2780
"Opal",214,214,211,211,210,221,221,221
"Opal amulet",1248,1248,1248,1248,1248,1248,1248,1248
"Opal bakriminel bolts",585,585,585,585,585,585,585,585
"Opal bakriminel bolts (e...",1359,1359,1359,1359,1359,1359,1359,1359
"Opal bolt tips",11,11,11,11,11,11,11,11
"Opal bolts",32,32,32,32,32,31,31,31
"Opal bolts (e)",32,32,32,32,32,32,32,32
"Opal bracelet",965,965,965,965,965,965,965,965
"Opal machete",666,666,666,666,666,666,666,666
"Opal necklace",982,982,982,982,982,982,982,982
"Opal ring",1048,1048,1048,1048,1048,1048,1048,1048
"Ophidian Incubation scro...",1347,1347,1347,1347,1347,1347,1347,1347
"Opulent table",381200,381200,381200,381200,381200,381200,381200,381200
"Orange",2168,2168,2077,2077,2077,2022,2022,2022
"Orange boater",722100,722100,756900,756900,756900,756900,756900,756900
"Orange chunks",53,53,53,53,53,53,53,53
"Orange dye",883,883,883,883,879,879,879,879
"Orange feather",34,34,34,34,34,34,34,34
"Orange flowers",2885,2885,2885,2885,2885,2885,2885,2885
"Orange parasol",853000,853000,853000,853000,853000,853000,853000,853000
"Orange salamander",4990,4990,4990,4990,4990,4990,4990,4990
"Orange salamander (unche...",1256,1256,1256,1256,1256,1256,1256,1256
"Orange slices",233,233,233,233,233,233,233,233
"Orange tree seed",157,157,155,155,156,155,155,155
"Oranges (5)",11900,11900,11900,11900,11900,11900,11900,11900
"Orb of the Cywir elders",9500000,9500000,9700000,9700000,9700000,9300000,9300000,9300000
"Orb of the cywir elders ...",20200,20200,20200,20200,20200,20200,20200,20200
"Orichalcite ore",2877,2877,2756,2756,2712,2842,2842,2842
"Orichalcite stone spirit...",156,152,156,156,155,158,158,158
"Orikalkum 2h warhammer",22100,22100,22100,22100,22100,22100,22100,22100
"Orikalkum 2h warhammer +...",157900,157900,76300,76300,76300,76300,76300,76300
"Orikalkum armour set",109400,109400,109400,109400,109400,109400,109400,109400
"Orikalkum armour set + 1...",392600,392600,392600,392600,392600,392600,392600,392600
"Orikalkum armour set + 2...",518600,518600,518600,518600,518600,518600,518600,518600
"Orikalkum armour set + 3...",594100,594100,614500,614500,614500,614500,614500,614500
"Orikalkum armoured boots...",1576,1576,32800,32800,32800,32800,32800,32800
"Orikalkum bar",7124,7124,6833,6833,6781,6964,6964,6964
"Orikalkum full helm",4155,4155,4155,4155,4155,4155,4155,4155
"Orikalkum full helm + 1",15600,15600,15600,15600,15600,15600,15600,15600
"Orikalkum full helm + 2",34700,34700,34700,34700,34700,34700,34700,34700
"Orikalkum full helm + 3",62600,62600,62600,62600,62600,62600,62600,62600
"Orikalkum gauntlets",1606,1606,1606,1606,1606,1606,1606,1606
"Orikalkum gauntlets + 1",13600,13600,13600,13600,13600,13600,13600,13600
"Orikalkum gauntlets + 2",57000,57000,57000,57000,57000,57000,57000,57000
"Orikalkum gauntlets + 3",31700,31700,31900,31900,31900,31900,31900,31900
"Orikalkum kiteshield",12300,12300,12300,12300,12300,12300,12300,12300
"Orikalkum kiteshield + 1...",61800,61800,61800,61800,61800,61800,61800,61800
"Orikalkum kiteshield + 2...",118000,118000,118000,118000,118000,118000,118000,118000
"Orikalkum kiteshield + 3...",62000,62000,62000,62000,62000,64800,64800,64800
"Orikalkum mattock",9595,9595,9445,9445,9445,9680,9680,9680
"Orikalkum off hand warha...",7463,7463,7463,7463,7463,7463,7463,7463
"Orikalkum ore box",57300,57100,57100,57100,57100,57100,57100,57100
"Orikalkum pickaxe",11600,11600,11600,11600,11600,11600,11600,11600
"Orikalkum pickaxe + 1",48600,48600,48600,48600,48600,48600,48600,48600
"Orikalkum pickaxe + 2",33800,33800,35200,35200,35200,35200,35200,35200
"Orikalkum pickaxe + 3",89400,89400,89400,89400,87700,87700,87700,87700
"Orikalkum platebody",12300,12300,12300,12300,12200,12200,12200,12200
"Orikalkum platebody + 1",38300,39700,39700,39700,39700,39700,39700,39700
"Orikalkum platebody + 2",172500,172500,172500,172500,172500,172500,172500,172500
"Orikalkum platebody + 3",173800,173800,170700,170700,170700,170700,170700,170700
"Orikalkum platelegs",11800,11800,11800,11800,11800,11800,11800,11800
"Orikalkum platelegs + 1",85500,85500,85500,85500,85500,85500,85500,85500
"Orikalkum platelegs + 2",60000,60000,60000,60000,60000,60000,60000,60000
"Orikalkum platelegs + 3",103500,103500,103500,103500,103500,106800,106800,106800
"Orikalkum warhammer",7870,7870,7998,7998,7998,7998,7998,7998
"Orikalkum warhammer + 1",61500,61500,61500,61500,61500,61500,61500,61500
"Orikalkum warhammer + 2",42500,42500,42500,42500,42500,42500,42500,42500
"Orikalkum warhammer + 3",84700,84700,84700,84700,84700,84700,84700,84700
"Orlando Smith's hat",2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09
"Orthenglass",5201,5201,5700,5700,5903,6509,6509,6509
"Ourg bones",7943,8056,22300,22300,22300,22300,22300,22300
"Oyster",7512,7512,7648,7648,7648,7648,7648,7648
"Oyster pearl",258,258,259,259,259,259,259,259
"Oyster pearls",453,453,453,453,453,453,453,453
"Pack mammoth pouch",13900,13900,13600,13600,13600,13500,13500,13500
"Pack yak mask",635300,635300,664200,664200,664200,664200,664200,664200
"Pack yak pouch",4032,4022,4040,4040,4043,4050,4050,4050
"Paddewwa teleport",2146,2146,2146,2146,2146,2146,2146,2146
"Pale energy",159,159,160,160,154,147,147,147
"Palm tree rest emote tok...",157300,157300,157300,157300,157300,157300,157300,157300
"Palm tree seed",33200,33200,32300,32300,32100,30800,30800,30800
"Pantaloons",599600,599600,628200,628200,628200,628200,628200,628200
"Papaya fruit",8295,8472,7813,7813,7640,7373,7373,7373
"Papaya tree seed",1884,1884,1973,1973,2029,1933,1933,1933
"Papyrus",437,437,420,420,420,418,418,418
"Part admiral pie",801,801,2631,2631,2631,2631,2631,2631
"Part fish pie",982,982,70,70,70,70,70,70
"Part garden pie",98,98,168,168,168,168,168,168
"Part mud pie",91,91,91,91,91,91,91,91
"Part summer pie",714,714,714,714,714,714,714,714
"Part wild pie",143,143,143,143,143,143,143,143
"Party fever walk overrid...",2800000,2800000,3100000,3100000,3100000,3100000,3100000,3100000
"Passage of the abyss (un...",35800000,35800000,37400000,37400000,37400000,37400000,37400000,37400000
"Pastry dough",333,333,320,320,320,320,320,320
"Pat of butter",810,810,812,812,812,803,803,803
"Pavosaurus desertum (unc...",1083,1083,1083,1083,1083,1083,1083,1083
"Pavosaurus nemus (unchec...",1087,1087,1087,1087,1087,1087,1087,1087
"Pavosaurus rex (unchecke...",3200000,3200000,3400000,3400000,3400000,3400000,3400000,3400000
"Pavosaurus rex meat",4141,4141,4141,4141,4141,4141,4141,4141
"Pearl bakriminel bolts",532,532,532,532,532,532,532,532
"Pearl bakriminel bolts (...",671,671,671,671,671,671,671,671
"Pearl bolt tips",50,50,50,50,50,50,50,50
"Pearl bolts",74,74,74,74,74,74,74,74
"Pearl bolts (e)",49,49,49,49,49,49,49,49
"Pengatrice egg",5483,5483,5483,5483,5483,5483,5483,5483
"Penguin mask",695000,695000,695000,695000,695000,726200,726200,726200
"Penguin plush token",134600,134600,134600,134600,155500,155500,155500,155500
"Penguin staff",716700,716700,750900,750900,750900,788000,788000,788000
"Perfect juju agility fla...",61900,61900,61900,61900,61900,61900,61900,61900
"Perfect juju agility pot...",7570,7570,20300,20300,20300,20300,20300,20300
"Perfect juju dungeoneeri...",16800,16800,5527,5527,5527,5527,5527,5527
"Perfect juju farming fla...",43900,43900,43900,43900,43900,43900,43900,43900
"Perfect juju farming pot...",5090,5090,5090,5090,5090,5090,5090,5090
"Perfect juju fishing fla...",108900,108900,108900,108900,108900,108900,108900,108900
"Perfect juju fishing pot...",18300,18300,28700,28700,28700,28700,28700,28700
"Perfect juju herblore fl...",100300,100300,100300,100300,100300,100300,100300,100300
"Perfect juju herblore po...",13300,13300,75600,75600,75600,75600,75600,75600
"Perfect juju mining flas...",80800,80800,80800,80800,80800,82100,82100,82100
"Perfect juju mining poti...",14100,14100,24000,24000,24000,24000,24000,24000
"Perfect juju prayer flas...",127000,127000,127000,127000,130700,130700,130700,130700
"Perfect juju prayer poti...",19800,19800,81200,81200,81200,81200,81200,81200
"Perfect juju smithing fl...",75200,75200,75200,75200,75200,75200,75200,75200
"Perfect juju smithing po...",4859,4859,4859,4859,4859,4859,4859,4859
"Perfect juju woodcutting...",77700,77700,7930,7930,7930,7930,7930,7930
"Pernix armour set",65300000,65300000,65300000,65300000,65300000,67400000,67400000,67400000
"Pernix body",25200000,26200000,26900000,26900000,26900000,2.7e+07,2.7e+07,2.7e+07
"Pernix body shard",145100,145100,145100,145100,145100,145100,145100,145100
"Pernix boots",6600000,6800000,7100000,7100000,7300000,7400000,7400000,7400000
"Pernix boots shard",43100,43100,43100,43100,43100,43100,43100,43100
"Pernix chaps",15100000,15700000,15900000,15900000,15900000,15400000,15400000,15400000
"Pernix chaps shard",95500,95500,95500,95500,95500,95500,95500,95500
"Pernix cowl",1e+07,1e+07,10300000,10300000,10500000,10400000,10400000,10400000
"Pernix cowl shard",5468,5468,5468,5468,5468,5468,5468,5468
"Pernix gloves",5700000,5700000,5800000,5800000,5900000,5900000,5900000,5900000
"Pernix gloves shard",352,352,352,352,352,352,352,352
"Pester scroll",27,27,27,27,27,27,27,27
"Pestle and mortar",33,33,33,33,33,33,33,33
"Pet of seasons token",62500000,62500000,62500000,62500000,62500000,62500000,62500000,62500000
"Petrifying Gaze scroll",96,96,96,96,96,96,96,96
"Phantasmal poison frog (...",1444,1444,1444,1444,1444,1512,1512,1512
"Pharaoh's sceptre",1900000,1900000,1900000,1900000,1900000,1900000,1900000,1900000
"Pharaoh's sceptre (3)",2100000,2100000,2200000,2200000,2200000,2200000,2200000,2200000
"Phasmatite",3672,3672,3833,3833,3833,4025,4025,4025
"Phasmatite stone spirit",365,378,375,375,379,404,404,404
"Phoenix aura token",135000,135000,134700,134700,134700,134700,134700,134700
"Phoenix Lair Teleport",509,509,509,509,509,508,508,508
"Phoenix Mimic token",1897,1897,1897,1897,1986,1986,1986,1986
"Phoenix necklace",8204,7864,7864,7864,7864,7571,7571,7571
"Phoenix pouch",3049,3049,3049,3049,3049,3049,3049,3049
"Phoenix quill",6906,6906,6906,6906,6906,7155,7155,7155
"Phoenix Wing backpack to...",16900,16900,16900,16900,17700,17700,17700,17700
"Phrin remains",522,522,522,522,522,522,522,522
"Pickaxe hat token",10700,10700,10700,10700,10700,10700,10700,10700
"Pie dish",47,47,46,46,46,45,45,45
"Pie dish (unfired)",383,383,383,383,383,383,383,383
"Pie recipe book",612,612,612,612,612,612,612,612
"Pie shell",233,233,225,225,217,211,211,211
"Pigswill",2121,2121,2121,2121,2121,2121,2121,2121
"Pigswill (1)",2137,2137,2137,2137,2137,2137,2137,2137
"Pigswill (2)",4100,4100,4100,4100,4100,4100,4100,4100
"Pigswill (3)",6311,6311,6311,6311,6311,6311,6311,6311
"Pigswill (4)",9006,9006,9006,9006,9006,9006,9006,9006
"Pigswill (m1)",2250,2250,2250,2250,2250,2250,2250,2250
"Pigswill (m2)",4500,4500,4500,4500,4500,4500,4500,4500
"Pigswill (m3)",6750,6750,6750,6750,6750,6750,6750,6750
"Pigswill (m4)",10100,10100,10100,10100,10100,10100,10100,10100
"Pike",28,28,28,28,28,28,28,28
"Pinata plushie",308600,308600,308600,308600,308600,308600,308600,308600
"Pinata sombrero",228400,228400,228400,228400,228400,228400,228400,228400
"Pineapple",502,502,511,511,508,510,510,510
"Pineapple chunks",298,298,298,298,298,300,300,300
"Pineapple pizza",471,471,471,471,471,471,471,471
"Pineapple Punch",531,531,531,531,531,531,531,531
"Pineapple ring",26,25,25,25,25,25,25,25
"Pineapple seed",415,415,431,431,452,467,467,467
"Pink boots",867,867,867,867,867,867,867,867
"Pink hat",509,509,509,509,509,509,509,509
"Pink robe bottoms",221,221,221,221,221,221,221,221
"Pink robe top",358,358,358,358,358,358,358,358
"Pink skirt",236,236,243,243,243,243,243,243
"Pirate bandana (blue)",151,151,151,151,151,151,151,151
"Pirate bandana (brown)",496,496,496,496,496,496,496,496
"Pirate bandana (grey)",172,172,172,172,172,172,172,172
"Pirate bandana (orange)",78,78,78,78,78,78,78,78
"Pirate bandana (purple)",574,574,574,574,574,574,574,574
"Pirate bandana (red)",517,517,517,517,517,517,517,517
"Pirate bandana (white)",256,256,256,256,256,256,256,256
"Pirate boots",1012,1012,1012,1012,1012,1012,1012,1012
"Pirate impling jar",202500,202500,202500,202500,202500,202500,202500,202500
"Pirate leggings (blue)",633,633,633,633,633,633,633,633
"Pirate leggings (brown)",72,72,72,72,72,72,72,72
"Pirate leggings (grey)",2682,2682,2682,2682,2682,2682,2682,2682
"Pirate leggings (orange)...",366,366,366,366,366,366,366,366
"Pirate leggings (purple)...",575,575,575,575,575,575,575,575
"Pirate leggings (red)",699,699,699,699,699,699,699,699
"Pirate leggings (white)",56,56,56,56,56,56,56,56
"Pirate shirt (blue)",1718,1718,1718,1718,1718,1718,1718,1718
"Pirate shirt (brown)",526,526,526,526,526,526,526,526
"Pirate shirt (grey)",1063,1063,1063,1063,1063,1063,1063,1063
"Pirate shirt (orange)",106,106,106,106,106,106,106,106
"Pirate shirt (purple)",710,710,710,710,710,710,710,710
"Pirate shirt (red)",784,784,784,784,784,784,784,784
"Pirate shirt (white)",43,43,43,43,43,43,43,43
"Pirate's hat",765200,765200,802900,802900,802900,842500,842500,842500
"Piscatorian cottontail r...",4976,5065,5095,5095,5095,5037,5037,5037
"Pitch can (empty)",9600000,9600000,9600000,9600000,9600000,9600000,9600000,9600000
"Pitch can (full)",1.3e+07,1.3e+07,1.3e+07,1.3e+07,1.3e+07,1.3e+07,1.3e+07,1.3e+07
"Pith helmet",604500,604500,631700,631700,631700,631700,631700,631700
"Pitta bread",22,22,22,22,22,22,22,22
"Pitta dough",937,937,937,937,937,937,937,937
"Pizza base",264,267,267,267,267,267,267,267
"Plague doctor walk overr...",399100000,399100000,399100000,399100000,399100000,399100000,399100000,399100000
"Plain cooking urn (nr)",920,920,920,920,920,920,920,920
"Plain divination urn (nr...",1439,1439,1439,1439,1439,1439,1439,1439
"Plain farming urn (nr)",1106,1106,1106,1106,1106,1106,1106,1106
"Plain fishing urn (nr)",1252,1252,1252,1252,1252,1252,1252,1252
"Plain hunter urn (nr)",1373,1373,1373,1373,1373,1373,1373,1373
"Plain mining urn (nr)",1468,1468,1468,1468,1468,1468,1468,1468
"Plain pizza",534,534,534,534,534,534,534,534
"Plain runecrafting urn (...",1430,1430,1430,1430,1430,1430,1430,1430
"Plain smelting urn (nr)",835,835,835,835,835,835,835,835
"Plain woodcutting urn (n...",893,893,904,904,904,904,904,904
"Plank",746,746,751,751,750,768,768,768
"Plant cure",817,817,835,835,875,918,918,918
"Plant pot",3,3,3,3,3,3,3,3
"Pneumatic gloves",243500,254400,254400,254400,254400,254400,254400,254400
"Pneumatic gloves shard",56300,56300,56300,56300,56300,56300,56300,56300
"Poison bomb",7180,7180,7180,7180,7180,7180,7180,7180
"Poison chalice",545,545,539,539,539,539,539,539
"Poison ivy berries",NA,NA,NA,NA,NA,NA,NA,NA
"Poison ivy seed",223,223,224,224,224,231,231,231
"Poison slime",764,754,703,703,696,708,708,708
"Poisonous Blast scroll",169,169,169,169,169,169,169,169
"Polar camo legs",23900,23900,24900,24900,24900,26000,26000,26000
"Polar camo top",17200,17200,18000,18000,18000,18900,18900,18900
"Polar kebbit fur",12700,12700,12900,12900,12900,12500,12500,12500
"Pollnivneach Teleport",312,312,298,298,301,288,288,288
"Polypore spore",6,6,6,6,6,6,6,6
"Polypore staff",2500000,2500000,2600000,2600000,2600000,2700000,2700000,2700000
"Polypore stick",44000,44000,43500,43500,43500,43300,43300,43300
"Poorly-cooked beast meat...",191,191,191,191,191,191,191,191
"Poorly-cooked bird meat",38,38,38,38,38,38,38,38
"Pork pie",4766,4766,4766,4766,4766,4766,4766,4766
"Port district teleport",1941,1941,1941,1941,1941,1941,1941,1941
"Portable brazier",80200,80200,78600,78600,78600,75000,75000,75000
"Portable crafter",78700,78700,76700,76700,73500,69800,69800,69800
"Portable fletcher",82600,82600,80500,80500,76900,73600,73600,73600
"Portable range",82200,82200,83200,83200,79700,73000,73000,73000
"Portable sawmill",4801,4801,4801,4801,4801,4780,4780,4780
"Portable well",58200,56900,55200,55200,52500,47500,47500,47500
"Portable workbench",6703,7039,7756,7756,8130,8514,8514,8514
"Portent of degradation I...",8827,8827,4668,4668,4668,4668,4668,4668
"Portent of restoration I...",1173,1170,2260,2260,2260,2260,2260,2260
"Portent of restoration V...",4681,4681,1118,1118,1138,1183,1183,1183
"Portent of restoration X...",28500,28500,27300,27300,27300,26000,26000,26000
"Porthole",1108,1108,1060,1060,1060,1023,1023,1023
"Pot (unfired)",264,264,264,264,264,264,264,264
"Pot lid",21,21,22,22,22,22,22,22
"Pot of cream",347,347,362,362,362,356,356,356
"Pot of flour",233,233,233,233,227,227,227,227
"Pot of gold token",31900,31900,31900,31900,31900,31900,31900,31900
"Potato cactus",NA,NA,NA,NA,NA,NA,NA,NA
"Potato cactus seed",440,440,440,440,440,428,428,428
"Potato seed",278,278,283,283,282,305,305,305
"Potato with butter",53,53,54,54,54,54,54,54
"Potato with cheese",306,306,306,306,306,306,306,306
"Potatoes (10)",7706,7706,7706,7706,7706,7706,7706,7706
"Potion flask",NA,NA,NA,NA,NA,NA,NA,NA
"Pottery scarab",226,226,226,226,226,226,226,226
"Pottery statuette",103,103,103,103,103,103,103,103
"Pouch",5,5,5,5,5,5,5,5
"Powdered wig",610300,610300,631800,631800,631800,631800,631800,631800
"Powerburst of accelerati...",1020,1020,1374,1374,1374,1374,1374,1374
"Powerburst of feats (1)",1000,1000,1000,1000,1000,1000,1000,1000
"Powerburst of feats (2)",2000,2000,2000,2000,2000,2000,2000,2000
"Powerburst of feats (3)",3000,3000,3000,3000,3000,3000,3000,3000
"Powerburst of feats (4)",4372,4437,4437,4437,4437,4437,4437,4437
"Powerburst of masterstro...",1022,1022,2946,2946,2946,2946,2946,2946
"Powerburst of sorcery (1...",17000,17000,17000,17000,17000,17000,17000,17000
